group,source,uncertainty_layer,count
source,P-1GPa,,30
source,P-5GPa,,26
source,P-10GPa,,13
source,P-20GPa,,7
source,P-30GPa,,14
source,P-40GPa,,5
source,P-50GPa,,5
uncertainty_layer,,U-below-tail,97
uncertainty_layer,,U-ge-tail,3
source_layer,P-1GPa,U-below-tail,30
source_layer,P-5GPa,U-below-tail,26
source_layer,P-10GPa,U-below-tail,13
source_layer,P-20GPa,U-below-tail,5
source_layer,P-20GPa,U-ge-tail,2
source_layer,P-30GPa,U-below-tail,14
source_layer,P-40GPa,U-below-tail,5
source_layer,P-50GPa,U-below-tail,4
source_layer,P-50GPa,U-ge-tail,1
