source_type,source_value,scale_factor,trajectory,trajectory_path,frame,uncertainty,volume_per_atom,max_force,max_force_model0,instant_pressure_gpa,natoms,min_distance_A,physical_gate_status,candidate_rank_source,candidate_file,final_selected,cur_rank,cur_phase,cur_score,selected_file,singular_value,residual_norm,max_similarity_selected,max_similarity_base
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,505,0.1807550254,20.226033835123033,5.354921029,5.386017558,0.452701954,16,2.179296498799957,passed,1,P-2GPa_frame00000505_U0.180755.poscar,True,91,cur-fill,0.007082677583,000091.poscar,5.287791644e-06,7.069751088e-07,0.996813323,0.999977274
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,555,0.1943425236,19.348222453809626,5.556462616,5.624343333,8.380601351,16,2.2921489780919813,passed,2,P-2GPa_frame00000555_U0.194343.poscar,False,,,,,,,,0.9999934138
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,613,0.1906573387,20.683854313779815,6.174487564,6.128521094,5.857399601,16,2.3312887465683776,passed,3,P-2GPa_frame00000613_U0.190657.poscar,True,44,cur-fill,0.03145307391,000044.poscar,0.0002044489415,4.507681405e-05,0.9977982748,0.9999865373
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,675,0.1686565629,20.75657069326203,6.76484721,6.682063363,-3.804797061,16,2.20508770278571,passed,4,P-2GPa_frame00000675_U0.168657.poscar,False,,,,,,,,0.9999897981
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,725,0.2467952807,20.575944725492498,6.996760731,7.088559679,7.68209252,16,2.451108515989384,passed,5,P-2GPa_frame00000725_U0.246795.poscar,True,41,cur-fill,0.03268439496,000041.poscar,0.0002386924897,6.255114733e-05,0.9959680008,0.9999760869
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,776,0.1698138973,21.26208585385285,6.6765114,6.425992918,-4.868288997,16,2.2725373871737578,passed,6,P-2GPa_frame00000776_U0.169814.poscar,False,,,,,,,,0.999988031
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,826,0.2072185703,19.216013101539,6.271544447,6.346321775,5.310158773,16,2.216567645212759,passed,7,P-2GPa_frame00000826_U0.207219.poscar,False,,,,,,,,0.9999833872
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,889,0.1990971413,20.561006444765148,5.703035536,5.581771149,-5.790204982,16,2.18343781703818,passed,8,P-2GPa_frame00000889_U0.199097.poscar,False,,,,,,,,0.9999582658
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,939,0.2211467846,19.10984182580945,5.705835582,5.648024217,7.750499163,16,2.212120345752813,passed,9,P-2GPa_frame00000939_U0.221147.poscar,True,17,cur-fill,0.04241130479,000017.poscar,0.005061855586,0.001207972581,0.9883118795,0.9999887524
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,989,0.1790423961,20.79833581878752,6.637972332,6.845918634,0.7878083931,16,2.2120478105593806,passed,10,P-2GPa_frame00000989_U0.179042.poscar,False,,,,,,,,0.9999691369
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1039,0.2077540477,20.57580169184867,7.129957034,7.285975866,1.695015866,16,2.113805088436238,passed,11,P-2GPa_frame00001039_U0.207754.poscar,True,61,cur-fill,0.05627981379,000061.poscar,2.404572594e-05,6.971451529e-06,0.9977251964,0.9999706399
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1094,0.1682604808,20.467650264928604,5.218055857,5.193285686,-0.3169767405,16,2.3803016162780666,passed,12,P-2GPa_frame00001094_U0.168260.poscar,False,,,,,,,,0.9999845842
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1144,0.2100143775,19.932305787316395,6.392308334,6.328379319,0.3358919301,16,2.2521286968084357,passed,13,P-2GPa_frame00001144_U0.210014.poscar,False,,,,,,,,0.999971255
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1216,0.1803629722,19.816214043344687,6.538944461,6.486229925,2.60130951,16,2.176418397197206,passed,14,P-2GPa_frame00001216_U0.180363.poscar,False,,,,,,,,0.9999943315
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1285,0.1846618634,20.4024772528885,5.4562066,5.573349358,1.418299344,16,2.357233158439899,passed,15,P-2GPa_frame00001285_U0.184662.poscar,True,78,cur-fill,0.01310570487,000078.poscar,5.287791644e-06,6.963427485e-07,0.9989390621,0.9999909116
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1336,0.1903297616,19.32029750348735,7.243289706,7.220680634,9.407360203,16,2.297394580736788,passed,16,P-2GPa_frame00001336_U0.190330.poscar,False,,,,,,,,0.9999919055
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1400,0.1809214514,19.22336932570462,6.164462585,6.031061431,10.6030063,16,2.3576785475126245,passed,17,P-2GPa_frame00001400_U0.180921.poscar,False,,,,,,,,0.9999745282
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1468,0.2252099871,18.61512031787211,6.472221809,6.458232427,14.43692749,16,2.398693464928893,passed,18,P-2GPa_frame00001468_U0.225210.poscar,False,,,,,,,,0.999990017
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1525,0.1838765536,19.66414434698787,6.892927997,6.946241334,10.26770697,16,2.212028025986156,passed,19,P-2GPa_frame00001525_U0.183877.poscar,False,,,,,,,,0.9999854527
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1575,0.1741256253,19.77706945555171,6.301488123,6.279842878,1.860991968,16,2.242791158170048,passed,20,P-2GPa_frame00001575_U0.174126.poscar,True,38,cur-fill,0.02483528425,000038.poscar,0.0003713036862,6.90166921e-05,0.9966717306,0.9999858882
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1625,0.2379974279,19.498698842880106,5.76473589,5.831627864,10.14795307,16,2.168822134436545,passed,21,P-2GPa_frame00001625_U0.237997.poscar,False,,,,,,,,0.9999737282
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1676,0.1777649405,18.884961832705315,6.219612658,6.171856755,9.18312854,16,2.1307585810821075,passed,22,P-2GPa_frame00001676_U0.177765.poscar,False,,,,,,,,0.9999924152
npt_pressure,2,,P-2GPa,Ta-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1726,0.1947269039,21.138847019369795,6.412299915,6.416227734,-1.509727265,16,2.2719431933459435,passed,23,P-2GPa_frame00001726_U0.194727.poscar,False,,,,,,,,0.9999853845
