group,source,uncertainty_layer,count
source,P-1GPa,,34
source,P-5GPa,,26
source,P-10GPa,,10
source,P-20GPa,,10
source,P-30GPa,,3
source,P-40GPa,,8
source,P-50GPa,,9
uncertainty_layer,,U-below-tail,95
uncertainty_layer,,U-ge-tail,5
source_layer,P-1GPa,U-below-tail,33
source_layer,P-1GPa,U-ge-tail,1
source_layer,P-5GPa,U-below-tail,24
source_layer,P-5GPa,U-ge-tail,2
source_layer,P-10GPa,U-below-tail,9
source_layer,P-10GPa,U-ge-tail,1
source_layer,P-20GPa,U-below-tail,9
source_layer,P-20GPa,U-ge-tail,1
source_layer,P-30GPa,U-below-tail,3
source_layer,P-40GPa,U-below-tail,8
source_layer,P-50GPa,U-below-tail,9
