source_type,source_value,scale_factor,trajectory,trajectory_path,frame,uncertainty,volume_per_atom,max_force,max_force_model0,candidate_rank_source,min_distance_A,void_radius_A,normalized_void,physical_gate_reasons
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,500,0.5378270758,21.33928849,6.697593423,6.868028678,1,2.0802575336264155,2.7555290359153357,0.9934477109766147,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,501,0.6715993559,21.19663673,6.656994113,6.560184888,2,2.0678890021980645,2.7716188066835863,1.0014851499173811,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,502,1.140218158,21.08378541,6.165838295,5.938427261,3,2.112087703083461,2.773401042022585,1.0039139258393244,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,503,1.196489317,21.01611553,6.015710311,5.87447137,4,2.2106779937177516,2.746488686455044,0.9952381119745191,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,504,1.094049618,21.0050412,5.834767769,6.162289991,5,2.1841271021052067,2.726183627957907,0.9880538000069603,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,505,1.03026769,21.05602684,5.438394327,6.012818842,6,2.1872462471706124,2.7058621134955176,0.9798964553255654,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,506,1.041335987,21.16802766,4.888452435,5.37035177,7,2.23010218819732,2.689348142172349,0.9721953991713702,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,507,0.9335396978,21.33465217,4.691561886,5.240836758,8,2.309966209628032,2.677235445111119,0.9652905264729693,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,508,0.6691993655,21.54535001,4.955674541,5.572118035,9,2.2883132325145854,2.6680252212382123,0.958823668713437,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,509,0.5952272377,21.78620387,4.668284435,5.159012428,10,2.2294656418465952,2.670733035452633,0.9562467173911395,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,510,0.8028858053,22.0399072,5.428928074,5.707678486,11,2.193207160568601,2.681979569671158,0.956574673159913,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,511,0.9401593774,22.28638764,5.990299266,6.277817584,12,2.188710081579497,2.6975774877540615,0.9585778038244401,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,512,1.051785228,22.5051337,6.31860821,6.72788534,13,2.215488961717968,2.688841010469345,0.9523675536368131,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,516,0.8851169314,22.78398943,4.690331607,4.596996555,17,2.2931866000121657,2.6873859581427255,0.9479529595448369,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,517,0.8718870186,22.6657884,4.368040423,4.144114907,18,2.345132722531398,2.6994472400754304,0.9538598462098861,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,518,0.7130244163,22.47751262,4.021246152,4.35461885,19,2.2432637885029285,2.69570778539342,0.9551906504706316,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,519,0.6674655247,22.23225339,4.594609063,5.004782281,20,2.175031910400992,2.689819808754189,0.9565962918210323,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,520,0.61741908,21.94881264,4.876539283,5.191772818,21,2.1533041430611646,2.680693092750327,0.9574367314527492,normalized_void>0.942271
npt_pressure,1,,P-1GPa,Ta-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,521,0.5594379337,21.65130565,5.022468173,4.882930376,22,2.1861175676516416,2.6766397227264074,0.9603478206805055,normalized_void>0.942271
