group,source,uncertainty_layer,count
source,rss-n10-p0bar,,5
source,rss-n10-p200000bar,,5
source,rss-n10-p400000bar,,12
source,rss-n12-p200000bar,,1
source,rss-n12-p400000bar,,3
source,rss-n15-p200000bar,,3
source,rss-n15-p400000bar,,6
source,rss-n18-p0bar,,1
source,rss-n18-p200000bar,,3
source,rss-n18-p400000bar,,6
source,rss-n20-p200000bar,,3
source,rss-n20-p400000bar,,9
source,rss-n22-p200000bar,,4
source,rss-n22-p400000bar,,9
source,rss-n25-p0bar,,4
source,rss-n25-p200000bar,,7
source,rss-n25-p400000bar,,11
source,rss-n9-p200000bar,,3
source,rss-n9-p400000bar,,5
uncertainty_layer,,U-below-tail,98
uncertainty_layer,,U-ge-tail,2
source_layer,rss-n10-p0bar,U-below-tail,5
source_layer,rss-n10-p200000bar,U-below-tail,5
source_layer,rss-n10-p400000bar,U-below-tail,11
source_layer,rss-n10-p400000bar,U-ge-tail,1
source_layer,rss-n12-p200000bar,U-below-tail,1
source_layer,rss-n12-p400000bar,U-below-tail,3
source_layer,rss-n15-p200000bar,U-below-tail,3
source_layer,rss-n15-p400000bar,U-below-tail,6
source_layer,rss-n18-p0bar,U-below-tail,1
source_layer,rss-n18-p200000bar,U-below-tail,3
source_layer,rss-n18-p400000bar,U-below-tail,6
source_layer,rss-n20-p200000bar,U-below-tail,3
source_layer,rss-n20-p400000bar,U-below-tail,8
source_layer,rss-n20-p400000bar,U-ge-tail,1
source_layer,rss-n22-p200000bar,U-below-tail,4
source_layer,rss-n22-p400000bar,U-below-tail,9
source_layer,rss-n25-p0bar,U-below-tail,4
source_layer,rss-n25-p200000bar,U-below-tail,7
source_layer,rss-n25-p400000bar,U-below-tail,11
source_layer,rss-n9-p200000bar,U-below-tail,3
source_layer,rss-n9-p400000bar,U-below-tail,5
