raw_index,pressure_index,mini_pressure_bar,raw_source_path,raw_natoms,minimized_source_path,minimized_natoms,minimized_read_error,rss_source_file,rss_source_path,flat_natoms,flat_read_error,flat_sha256,minimized_sha256,flat_matches_minimized,failure_log,exclusion_reason
53,0,0.0,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00053.poscar,10,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00053-0.poscar,10,,000160.poscar,unary-Ta/Ta-00053-0.poscar,10,,9730b2c132c830df44ee041c3402a738e692aa56c96c03b55655a4d2dd273870,9730b2c132c830df44ee041c3402a738e692aa56c96c03b55655a4d2dd273870,True,Ta-potential/fcc-restart/05-rss-round-1/rss/logs/unary-Ta.log,mini_lammps_exit_1
53,1,200000.0,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00053.poscar,10,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00053-1.poscar,10,,000161.poscar,unary-Ta/Ta-00053-1.poscar,10,,e3797d5bdcbbc9169cdd28faf01fdab6f1e292faac5adcdb1788989b20ef1945,e3797d5bdcbbc9169cdd28faf01fdab6f1e292faac5adcdb1788989b20ef1945,True,Ta-potential/fcc-restart/05-rss-round-1/rss/logs/unary-Ta.log,mini_lammps_exit_1
191,1,200000.0,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00191.poscar,15,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00191-1.poscar,22,,000575.poscar,unary-Ta/Ta-00191-1.poscar,22,,19f5f3faa663b235d0ec1e8422a114df48082cf9fd4c518ed2de966235f52023,19f5f3faa663b235d0ec1e8422a114df48082cf9fd4c518ed2de966235f52023,True,Ta-potential/fcc-restart/05-rss-round-1/rss/logs/unary-Ta.log,mini_lammps_exit_1
191,2,400000.0,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00191.poscar,15,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00191-2.poscar,25,,000576.poscar,unary-Ta/Ta-00191-2.poscar,25,,3233d15f4d99e628bc120abe921ff445fcb7b68fea61244ccfaece659e306b03,3233d15f4d99e628bc120abe921ff445fcb7b68fea61244ccfaece659e306b03,True,Ta-potential/fcc-restart/05-rss-round-1/rss/logs/unary-Ta.log,mini_lammps_exit_1
204,1,200000.0,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00204.poscar,18,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00204-1.poscar,20,,000614.poscar,unary-Ta/Ta-00204-1.poscar,20,,fe3a17f0dac4fd6ffd9eb1fb0c94239041b62d09aa6521ffd432872bbc1d21c0,fe3a17f0dac4fd6ffd9eb1fb0c94239041b62d09aa6521ffd432872bbc1d21c0,True,Ta-potential/fcc-restart/05-rss-round-1/rss/logs/unary-Ta.log,mini_lammps_exit_1
204,2,400000.0,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00204.poscar,18,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00204-2.poscar,25,,000615.poscar,unary-Ta/Ta-00204-2.poscar,25,,1dc539882d032d21e946e755424f8f3e5797240a3f53533b3acea5047ac79d97,1dc539882d032d21e946e755424f8f3e5797240a3f53533b3acea5047ac79d97,True,Ta-potential/fcc-restart/05-rss-round-1/rss/logs/unary-Ta.log,mini_lammps_exit_1
206,0,0.0,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00206.poscar,18,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00206-0.poscar,18,,000619.poscar,unary-Ta/Ta-00206-0.poscar,18,,aa628843c2bd696b4a80a58c1a14d06a48f2d6e397278833ac860d7ea4d81aa7,aa628843c2bd696b4a80a58c1a14d06a48f2d6e397278833ac860d7ea4d81aa7,True,Ta-potential/fcc-restart/05-rss-round-1/rss/logs/unary-Ta.log,mini_lammps_exit_1
206,1,200000.0,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00206.poscar,18,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00206-1.poscar,10,,000620.poscar,unary-Ta/Ta-00206-1.poscar,10,,a600e1ae00b63558b361a0bcb1c46e94b4bfc04147aac696591f3d2240343bbf,a600e1ae00b63558b361a0bcb1c46e94b4bfc04147aac696591f3d2240343bbf,True,Ta-potential/fcc-restart/05-rss-round-1/rss/logs/unary-Ta.log,mini_lammps_exit_1
206,2,400000.0,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00206.poscar,18,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00206-2.poscar,18,,000621.poscar,unary-Ta/Ta-00206-2.poscar,18,,f124da59d5c47b6f24d65618467fc5872f4d0257ddf6731f5f91a7608392e194,f124da59d5c47b6f24d65618467fc5872f4d0257ddf6731f5f91a7608392e194,True,Ta-potential/fcc-restart/05-rss-round-1/rss/logs/unary-Ta.log,mini_lammps_exit_1
218,0,0.0,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00218.poscar,18,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00218-0.poscar,20,,000655.poscar,unary-Ta/Ta-00218-0.poscar,20,,020125c990e2ed84175c942285be9b3a114049601d7a5f9e294607f056d11285,020125c990e2ed84175c942285be9b3a114049601d7a5f9e294607f056d11285,True,Ta-potential/fcc-restart/05-rss-round-1/rss/logs/unary-Ta.log,mini_lammps_exit_1
