trajectory,trajectory_path,frame,natoms,mini_pressure_bar,pressure_index,raw_index,rss_source_file,rss_source_path,minimized_source_path,raw_source_path,flat_sha256,minimized_sha256
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,0,9,0.0,0,0,000001.poscar,unary-Ta/Ta-00000-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00000-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00000.poscar,f2d98a4649b22d8c5830d328d8a07566e89fe46007354538f83dbc9de7123e9d,f2d98a4649b22d8c5830d328d8a07566e89fe46007354538f83dbc9de7123e9d
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,1,9,0.0,0,1,000004.poscar,unary-Ta/Ta-00001-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00001-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00001.poscar,a0a11e7161ca5ad987072f2fffa2548f84aa2cc41d04ddc7e42e2288eeee8b06,a0a11e7161ca5ad987072f2fffa2548f84aa2cc41d04ddc7e42e2288eeee8b06
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,2,9,0.0,0,2,000007.poscar,unary-Ta/Ta-00002-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00002-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00002.poscar,2fb8e186f85b3ad77d3a5cd2e1aa7f45b1bf1eee0760c135d49f40af3f007f67,2fb8e186f85b3ad77d3a5cd2e1aa7f45b1bf1eee0760c135d49f40af3f007f67
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,3,9,0.0,0,3,000010.poscar,unary-Ta/Ta-00003-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00003-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00003.poscar,5f05999af063255bb521a47a3e7f4d8234dbd43fe989b7a08f12442fccf36787,5f05999af063255bb521a47a3e7f4d8234dbd43fe989b7a08f12442fccf36787
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,4,9,0.0,0,4,000013.poscar,unary-Ta/Ta-00004-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00004-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00004.poscar,f74963f2713b31fe0ec7a7afe9c00cee63702cd9bd63b84c82392d5870f4574a,f74963f2713b31fe0ec7a7afe9c00cee63702cd9bd63b84c82392d5870f4574a
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,5,9,0.0,0,5,000016.poscar,unary-Ta/Ta-00005-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00005-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00005.poscar,11c3ded698c1c6d7aadf832ba4d1bffa3458c1f9950bd6e243456311892c85ef,11c3ded698c1c6d7aadf832ba4d1bffa3458c1f9950bd6e243456311892c85ef
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,6,9,0.0,0,6,000019.poscar,unary-Ta/Ta-00006-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00006-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00006.poscar,326828de399a9959b608c91abed077a9e801f12c9605dad0a548f861e8a8f1d1,326828de399a9959b608c91abed077a9e801f12c9605dad0a548f861e8a8f1d1
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,7,9,0.0,0,7,000022.poscar,unary-Ta/Ta-00007-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00007-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00007.poscar,74ec8542e85b39ae3122688858b3a2f7a18778b95a1a79132368d256c990f788,74ec8542e85b39ae3122688858b3a2f7a18778b95a1a79132368d256c990f788
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,8,9,0.0,0,8,000025.poscar,unary-Ta/Ta-00008-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00008-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00008.poscar,3ee45c467c2755cd00cd399d449b39668aae4d459dec018384a71fbd7d6ff326,3ee45c467c2755cd00cd399d449b39668aae4d459dec018384a71fbd7d6ff326
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,9,9,0.0,0,9,000028.poscar,unary-Ta/Ta-00009-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00009-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00009.poscar,f777cda2b1791511a2293cbd10015dced3806a317cbecb9e7e63ccb40220cb93,f777cda2b1791511a2293cbd10015dced3806a317cbecb9e7e63ccb40220cb93
