fold,metric_name,metric_unit,jnn_path,log_path,train_metric,test_metric,selection_metric,train_test_gap,train_test_ratio,eligible,exclude_reason
0,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-0/0.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-0/log,5.767,6.354,6.354,0.587,1.10178602393,yes,
1,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-1/1.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-1/log,6.044,5.221,5.221,0.823,1.15763263743,yes,
2,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-2/2.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-2/log,6.162,7.895,7.895,1.733,1.28123985719,no,train/test ratio 1.28124 > 1.25
3,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-3/3.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-3/log,6.029,4.991,4.991,1.038,1.20797435384,yes,
4,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-4/4.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-4/log,6.136,6.888,6.888,0.752,1.12255541069,yes,
5,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-5/5.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-5/log,6.403,7.544,7.544,1.141,1.17819771982,yes,
6,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-6/6.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-6/log,6.155,8.136,8.136,1.981,1.32185215272,no,train/test ratio 1.32185 > 1.25
7,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-7/7.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-7/log,6.963,6.017,6.017,0.946,1.15722120658,yes,
8,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-8/8.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-8/log,6.453,6.046,6.046,0.407,1.06731723454,yes,
9,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-9/9.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-9/log,6.329,5.674,5.674,0.655,1.11543884385,yes,
