group,source,uncertainty_layer,count
source,P-2GPa,,26
source,P-8GPa,,9
source,P-15GPa,,12
source,P-25GPa,,8
source,P-35GPa,,11
source,P-45GPa,,17
source,P-55GPa,,17
uncertainty_layer,,U-below-tail,99
uncertainty_layer,,U-ge-tail,1
source_layer,P-2GPa,U-below-tail,26
source_layer,P-8GPa,U-below-tail,9
source_layer,P-15GPa,U-below-tail,12
source_layer,P-25GPa,U-below-tail,8
source_layer,P-35GPa,U-below-tail,11
source_layer,P-45GPa,U-below-tail,17
source_layer,P-55GPa,U-below-tail,16
source_layer,P-55GPa,U-ge-tail,1
