group,source,uncertainty_layer,count
source,P-1GPa,,36
source,P-5GPa,,19
source,P-10GPa,,19
source,P-20GPa,,5
source,P-30GPa,,3
source,P-40GPa,,7
source,P-50GPa,,11
uncertainty_layer,,U-below-tail,95
uncertainty_layer,,U-ge-tail,5
source_layer,P-1GPa,U-below-tail,35
source_layer,P-1GPa,U-ge-tail,1
source_layer,P-5GPa,U-below-tail,19
source_layer,P-10GPa,U-below-tail,19
source_layer,P-20GPa,U-below-tail,5
source_layer,P-30GPa,U-below-tail,3
source_layer,P-40GPa,U-below-tail,7
source_layer,P-50GPa,U-below-tail,7
source_layer,P-50GPa,U-ge-tail,4
