source_type,source_value,scale_factor,trajectory,trajectory_path,frame,uncertainty,volume_per_atom,max_force,max_force_model0,candidate_rank_source,min_distance_A,void_radius_A,normalized_void,physical_gate_reasons
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,559,0.6298598492,18.39972387,7.154900251,7.415523553,58,1.7479158355214697,2.429559897147523,0.9202881754961324,min_distance_A<1.77527
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,567,0.1259117351,19.86816392,2.876513437,2.839424456,66,2.039376066153628,2.5876074563843576,0.9553866074453233,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,568,0.1663160366,19.95028233,2.953960423,2.965085024,67,1.9749055991071998,2.633859519284287,0.9711275142233847,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,569,0.142779981,19.98499771,3.39159952,3.37333863,68,1.9767920190675865,2.6481170950245714,0.9758187319462239,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,570,0.1473217454,19.96618182,3.283454591,3.229112669,69,2.0474146990195283,2.6589652919177102,0.9801239340822716,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,571,0.1554897562,19.88883227,2.550511485,2.634542351,70,2.1392094308250655,2.668330002215058,0.984849293387499,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,572,0.1276343851,19.75132834,2.888419107,2.859608394,71,2.2320912049642745,2.6572996878677095,0.9830488518630853,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,573,0.1313348745,19.55701006,3.373475195,3.275410353,72,2.164191671521588,2.642272616170594,0.9807164745389705,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,574,0.3222609388,19.31220317,3.281040525,3.198801871,73,1.9685634802528276,2.6122270925218074,0.9736442921334205,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,575,0.642231289,19.02815288,4.366210544,4.557245136,74,1.8473413486413761,2.549659420321068,0.955029150580449,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,576,0.6675377095,18.72257968,4.861343391,5.139805324,75,1.8206034820455503,2.5133364006197416,0.9465176685137149,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,577,0.6584843758,18.41408985,4.191988649,4.513255365,76,1.875807587795421,2.520763381962217,0.9545865892135453,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,578,0.5873152066,18.11962199,3.362214153,3.650334098,77,1.872640348510536,2.5137495000170005,0.9570595314383552,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,579,0.2897218728,17.85526825,3.554196274,3.505684899,78,1.9277955421061246,2.538904087773332,0.9713837523620971,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,580,0.2399257202,17.63620093,3.621637714,3.603883492,79,1.9291836281007217,2.503531753430311,0.9617999675697517,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,611,0.2346596465,17.74737081,3.695795969,3.768000488,107,1.8840437696594272,2.478298455963706,0.9501137396544937,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,612,0.1744747018,17.74124385,2.730982174,2.777089024,108,1.9824581489425037,2.477391606599409,0.9498753993920038,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,624,0.1968142926,19.75437038,3.237683161,3.242311679,120,1.9129492841808973,2.5694486070435145,0.950500183003843,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,625,0.2355133305,19.86330732,3.088216831,3.109236338,121,1.8988701591509467,2.594239647275406,0.9579133773675998,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,626,0.2717761025,19.93182331,2.53112913,2.592702481,122,1.9541786630792757,2.6121482265318594,0.9634195934062592,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,627,0.2641692882,19.9572743,2.742677,2.814420484,123,2.054826924746037,2.629940830310865,0.9695694036635358,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,628,0.1696474603,19.9414668,2.918372077,2.85471412,124,2.0613023294353163,2.6528203333741796,0.9782626467033971,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,629,0.1982292938,19.89141491,3.056507321,3.097519256,125,2.0295874414250172,2.6898396894304897,0.9927452977480765,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,630,0.2815294448,19.81612431,3.712320247,3.730369818,126,2.0764891499590914,2.7203682574078116,1.0052825082297807,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,631,0.2779730808,19.72283351,3.29545924,3.254228285,127,2.108023149373471,2.7069719341477714,1.0019067829371433,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,632,0.1794408552,19.61507805,2.411928991,2.419297856,128,2.1514958036344227,2.6825647282231166,0.9946879645254958,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,633,0.1247141053,19.49274228,2.599785453,2.606354957,129,2.257236955469614,2.6487176807349644,0.9841879050280331,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,634,0.1228688033,19.35626175,2.59446111,2.537800399,130,2.2818666944441497,2.6127718333003878,0.9731078816937062,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,635,0.1356498529,19.21038285,3.312643595,3.35528327,131,2.051140202559705,2.578290338532626,0.9626900457113222,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,636,0.2900442174,19.06315536,4.380573354,4.301655428,132,1.9055689648746277,2.5497696026961747,0.9544855183071063,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,637,0.3543181664,18.92269649,4.57543109,4.47170845,133,1.8964044202309176,2.5214387962812914,0.9462097591174671,normalized_void>0.946161
npt_pressure,1,,P-1GPa,Ti-potential/fcc-restart/03-npt-round-1/md/P-1GPa/multi_nnap_md.xyz,666,0.175115901,18.34344433,2.785053096,2.699538632,159,2.0565483471052532,2.519415455418168,0.9552993755860995,normalized_void>0.946161
