trajectory,trajectory_path,frame,natoms,mini_pressure_bar,pressure_index,raw_index,rss_source_file,rss_source_path,minimized_source_path,raw_source_path,flat_sha256,minimized_sha256
rss-n9-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,0,9,0.0,0,0,000001.poscar,unary-Ti/Ti-00000-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00000-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00000.poscar,10f708cb0a42ba0a55a7d60ad00abca37f674ae60508366c228d9c08c2e783ab,10f708cb0a42ba0a55a7d60ad00abca37f674ae60508366c228d9c08c2e783ab
rss-n9-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,1,9,0.0,0,1,000004.poscar,unary-Ti/Ti-00001-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00001-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00001.poscar,ad218a9b11979fafa597d11d3909e784d7e0e854360314e6effcf8a14f274668,ad218a9b11979fafa597d11d3909e784d7e0e854360314e6effcf8a14f274668
rss-n9-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,2,9,0.0,0,2,000007.poscar,unary-Ti/Ti-00002-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00002-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00002.poscar,d949ef920275db5f5c6b04983bef438e7da9fc8b9827fec249679ff0799faab1,d949ef920275db5f5c6b04983bef438e7da9fc8b9827fec249679ff0799faab1
rss-n9-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,3,9,0.0,0,3,000010.poscar,unary-Ti/Ti-00003-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00003-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00003.poscar,9437aff414d7d5abcaf9d6b7ca8d8fa9b6d9eeb80f61e39c4669e25862b004c2,9437aff414d7d5abcaf9d6b7ca8d8fa9b6d9eeb80f61e39c4669e25862b004c2
rss-n9-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,4,9,0.0,0,4,000013.poscar,unary-Ti/Ti-00004-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00004-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00004.poscar,a6532ae9d17d35ee537e5f3419fb9738a72ad17e994c561591ccf572f26f7c7d,a6532ae9d17d35ee537e5f3419fb9738a72ad17e994c561591ccf572f26f7c7d
rss-n9-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,5,9,0.0,0,5,000016.poscar,unary-Ti/Ti-00005-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00005-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00005.poscar,e80ed73f8e4178fc5681975f72640bc82dfed2aafd260744bc5fbabf300e2479,e80ed73f8e4178fc5681975f72640bc82dfed2aafd260744bc5fbabf300e2479
rss-n9-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,6,9,0.0,0,6,000019.poscar,unary-Ti/Ti-00006-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00006-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00006.poscar,dc7cb2a56b5840f7220c39ba341ced34c3319fe6228246c656209e3092a5caf5,dc7cb2a56b5840f7220c39ba341ced34c3319fe6228246c656209e3092a5caf5
rss-n9-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,7,9,0.0,0,7,000022.poscar,unary-Ti/Ti-00007-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00007-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00007.poscar,5a7c5e9a8f9fe7a0721614e864093afe9fe0bb3888c8ad46834f458b9ecd5852,5a7c5e9a8f9fe7a0721614e864093afe9fe0bb3888c8ad46834f458b9ecd5852
rss-n9-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,8,9,0.0,0,8,000025.poscar,unary-Ti/Ti-00008-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00008-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00008.poscar,2811a02f21fd5e07a2156f6e0e4d3f4eb044503410ae20b6c146085e2571f341,2811a02f21fd5e07a2156f6e0e4d3f4eb044503410ae20b6c146085e2571f341
rss-n9-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,9,9,0.0,0,9,000028.poscar,unary-Ti/Ti-00009-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00009-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00009.poscar,d45a0099bfe533dd06f223eeecb09abf552dc7001fa60e0abd4b661cd07314b7,d45a0099bfe533dd06f223eeecb09abf552dc7001fa60e0abd4b661cd07314b7
