fold,metric_name,metric_unit,jnn_path,log_path,train_metric,test_metric,selection_metric,train_test_gap,train_test_ratio,eligible,exclude_reason
0,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-0/0.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-0/log,4.788,4.552,4.552,0.236,1.05184534271,yes,
1,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-1/1.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-1/log,5.065,5.034,5.034,0.031,1.00615812475,yes,
2,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-2/2.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-2/log,4.937,4.44,4.44,0.497,1.11193693694,yes,
3,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-3/3.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-3/log,4.765,5.253,5.253,0.488,1.10241343127,yes,
4,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-4/4.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-4/log,4.654,4.711,4.711,0.057,1.01224752901,yes,
5,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-5/5.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-5/log,4.896,5.251,5.251,0.355,1.07250816993,yes,
6,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-6/6.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-6/log,4.572,5.277,5.277,0.705,1.15419947507,yes,
7,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-7/7.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-7/log,4.488,4.731,4.731,0.243,1.05414438503,yes,
8,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-8/8.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-8/log,4.794,4.424,4.424,0.37,1.08363471971,yes,
9,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-9/9.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-9/log,4.87,5.781,5.781,0.911,1.18706365503,yes,
