group,source,uncertainty_layer,count
source,P-2GPa,,27
source,P-8GPa,,23
source,P-15GPa,,12
source,P-25GPa,,10
source,P-35GPa,,7
source,P-45GPa,,7
source,P-55GPa,,14
uncertainty_layer,,U-below-tail,96
uncertainty_layer,,U-ge-tail,4
source_layer,P-2GPa,U-below-tail,27
source_layer,P-8GPa,U-below-tail,22
source_layer,P-8GPa,U-ge-tail,1
source_layer,P-15GPa,U-below-tail,11
source_layer,P-15GPa,U-ge-tail,1
source_layer,P-25GPa,U-below-tail,9
source_layer,P-25GPa,U-ge-tail,1
source_layer,P-35GPa,U-below-tail,7
source_layer,P-45GPa,U-below-tail,7
source_layer,P-55GPa,U-below-tail,13
source_layer,P-55GPa,U-ge-tail,1
