source_type,source_value,scale_factor,trajectory,trajectory_path,frame,uncertainty,volume_per_atom,max_force,max_force_model0,instant_pressure_gpa,natoms,min_distance_A,physical_gate_status,candidate_rank_source,candidate_file,final_selected,cur_rank,cur_phase,cur_score,selected_file,singular_value,residual_norm,max_similarity_selected,max_similarity_base
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,500,0.241253104,16.254505453645262,6.114328717,6.169463147,22.31282867,16,2.3867637754859494,passed,1,P-2GPa_frame00000500_U0.241253.poscar,False,,,,,,,,0.9999764504
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,550,0.2600394664,16.716772781551544,6.506789969,6.511426473,15.01704973,16,2.274232225145612,passed,2,P-2GPa_frame00000550_U0.260039.poscar,False,,,,,,,,0.9999945936
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,600,0.3345561497,18.423589616273325,7.604178947,7.808461,7.181338756,16,2.1526911638956987,passed,3,P-2GPa_frame00000600_U0.334556.poscar,True,6,cur-fill,0.02213556591,000006.poscar,0.02394393715,0.004231308432,0.9912931814,0.9999746726
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,650,0.2490965514,17.33480121610874,7.128088712,7.330626038,0.4179049003,16,2.2793881897845782,passed,4,P-2GPa_frame00000650_U0.249097.poscar,False,,,,,,,,0.9999554696
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,710,0.2103571065,16.631123777620253,6.743084603,6.794258647,10.19697123,16,2.3309561643660106,passed,5,P-2GPa_frame00000710_U0.210357.poscar,False,,,,,,,,0.9999610839
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,760,0.2177477374,18.076892119381252,6.176430482,6.163797436,5.48255825,16,2.1805082535828184,passed,6,P-2GPa_frame00000760_U0.217748.poscar,False,,,,,,,,0.9999572446
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,810,0.3760416391,19.020839798199003,9.842397967,10.15311139,2.536871136,16,2.050363764471565,passed,7,P-2GPa_frame00000810_U0.376042.poscar,True,8,cur-fill,0.04259493483,000008.poscar,0.01660480778,0.0041436226,0.9924798758,0.9999844013
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,861,0.2084332434,19.54749617297023,7.624515539,7.500736407,-1.830766188,16,2.1728835473918213,passed,8,P-2GPa_frame00000861_U0.208433.poscar,False,,,,,,,,0.9999856991
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,911,0.2101411274,19.473875285173424,5.225827344,5.242792546,-7.980599553,16,2.2922756341621335,passed,9,P-2GPa_frame00000911_U0.210141.poscar,True,7,cur-fill,0.0177669518,000007.poscar,0.02124770013,0.003643826362,0.9983425076,0.999987519
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,961,0.2143499307,20.4103109966037,5.211663248,5.215650519,-10.21551443,16,2.2761579836711006,passed,10,P-2GPa_frame00000961_U0.214350.poscar,False,,,,,,,,0.9999950177
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1011,0.2644484808,19.829181078892915,9.042407716,8.903556501,-5.884172805,16,2.236716077322421,passed,11,P-2GPa_frame00001011_U0.264448.poscar,True,18,cur-fill,0.015827759,000018.poscar,0.004073724182,0.0007043938575,0.9974139321,0.9999603361
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1065,0.2323544177,18.79984880732053,5.855452976,5.882951094,-3.943618652,16,2.245567338292951,passed,12,P-2GPa_frame00001065_U0.232354.poscar,False,,,,,,,,0.9999498367
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1116,0.2100639952,19.053525687227218,5.676164596,5.732824059,-5.802566596,16,2.252699370032881,passed,13,P-2GPa_frame00001116_U0.210064.poscar,False,,,,,,,,0.9999814855
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1170,0.2259344772,18.85306976177482,6.678944674,6.510812951,-17.65430718,16,2.2496637945292273,passed,14,P-2GPa_frame00001170_U0.225934.poscar,True,1,cur-fill,0.004262917166,000001.poscar,2.350761054,0.1547444505,0,0.9999792815
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1223,0.2096575099,18.79718707379368,4.708614496,4.712486284,-9.802402077,16,2.3548951598462216,passed,15,P-2GPa_frame00001223_U0.209658.poscar,False,,,,,,,,0.9999199296
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1273,0.2266090735,17.481026675514425,6.318622718,6.20152556,-1.259687961,16,2.264690884618853,passed,16,P-2GPa_frame00001273_U0.226609.poscar,False,,,,,,,,0.9999521095
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1328,0.2602653829,17.51261167413785,7.071981783,7.048034315,-0.9576653956,16,2.187935952044988,passed,17,P-2GPa_frame00001328_U0.260265.poscar,False,,,,,,,,0.9999594962
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1378,0.3752318319,17.671052053872373,9.660943044,9.614976993,1.861588627,16,2.2188586417657503,passed,18,P-2GPa_frame00001378_U0.375232.poscar,False,,,,,,,,0.9999785101
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1428,0.2588495663,17.556741396458932,9.106465525,9.219383064,14.20281208,16,2.2042712406852862,passed,19,P-2GPa_frame00001428_U0.258850.poscar,False,,,,,,,,0.9999825305
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1478,0.305383825,17.011513617284816,3.892974384,3.896403182,17.36668565,16,2.3075029596663,passed,20,P-2GPa_frame00001478_U0.305384.poscar,True,19,cur-fill,0.04011177895,000019.poscar,0.003274738284,0.0007693679506,0.9992894447,0.9999838595
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1528,0.2808643632,18.354361658629887,6.397436655,6.237294663,7.984614968,16,2.2177819104972474,passed,21,P-2GPa_frame00001528_U0.280864.poscar,False,,,,,,,,0.9999823548
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1578,0.2374364487,18.650910233903723,7.5321954,7.293361245,7.185625106,16,2.2852417893338592,passed,22,P-2GPa_frame00001578_U0.237436.poscar,False,,,,,,,,0.999985871
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1630,0.209194387,21.47318539068365,5.80185602,5.975728823,-4.959735441,16,2.295450482736563,passed,23,P-2GPa_frame00001630_U0.209194.poscar,True,27,cur-fill,0.05031690041,000027.poscar,0.001147652997,0.0003010334494,0.9974678317,0.999978357
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1680,0.362292913,16.82312334981705,8.909556171,9.137916591,24.67896417,16,2.1632880710329663,passed,24,P-2GPa_frame00001680_U0.362293.poscar,False,,,,,,,,0.9999683541
