source_type,source_value,scale_factor,trajectory,trajectory_path,frame,uncertainty,volume_per_atom,max_force,max_force_model0,candidate_rank_source,min_distance_A,void_radius_A,normalized_void,physical_gate_reasons
nvt_scale,0.9,0.9,scale-0p9,W-potential/fcc-restart/01-nvt-round-1/md/scale-0p9/multi_nnap_md.xyz,500,2.804189419,11.59396854,10.46660427,9.642010118,1,2.0915165705060383,8.733638134665721,3.8587900888501445,normalized_void>0.946305
nvt_scale,0.9,0.9,scale-0p9,W-potential/fcc-restart/01-nvt-round-1/md/scale-0p9/multi_nnap_md.xyz,542,4.737283685,11.59396854,9.474656786,9.363639534,43,2.1526597049386225,8.84406839546312,3.9075815763498096,normalized_void>0.946305
nvt_scale,0.9,0.9,scale-0p9,W-potential/fcc-restart/01-nvt-round-1/md/scale-0p9/multi_nnap_md.xyz,564,4.031131309,11.59396854,12.76643472,11.51732974,65,2.0995005347912157,14.406714517788085,6.365329812953368,normalized_void>0.946305
nvt_scale,0.9,0.9,scale-0p9,W-potential/fcc-restart/01-nvt-round-1/md/scale-0p9/multi_nnap_md.xyz,568,14.07074157,11.59396854,16.00109968,10.5193853,69,2.0300424783099995,14.264655440697522,6.302563741099253,normalized_void>0.946305
nvt_scale,0.9,0.9,scale-0p9,W-potential/fcc-restart/01-nvt-round-1/md/scale-0p9/multi_nnap_md.xyz,606,4.927845965,11.59396854,10.81798375,12.6584609,107,2.1141041166808217,9.780158547179354,4.32117501175622,normalized_void>0.946305
nvt_scale,0.9,0.9,scale-0p9,W-potential/fcc-restart/01-nvt-round-1/md/scale-0p9/multi_nnap_md.xyz,611,5.880311296,11.59396854,11.50961097,10.93516938,112,2.088601432431981,13.06220284469018,5.771283181011924,normalized_void>0.946305
nvt_scale,0.9,0.9,scale-0p9,W-potential/fcc-restart/01-nvt-round-1/md/scale-0p9/multi_nnap_md.xyz,668,3.635948156,11.59396854,7.886631369,6.787587447,169,2.2093110532561218,8.778814544070418,3.878750416742451,normalized_void>0.946305
nvt_scale,0.9,0.9,scale-0p9,W-potential/fcc-restart/01-nvt-round-1/md/scale-0p9/multi_nnap_md.xyz,685,6.534089916,11.59396854,13.92257883,9.070353751,186,2.051043214811479,8.774462612366985,3.8768275993935273,normalized_void>0.946305
nvt_scale,0.9,0.9,scale-0p9,W-potential/fcc-restart/01-nvt-round-1/md/scale-0p9/multi_nnap_md.xyz,734,8.874035835,11.59396854,18.05347266,15.17091069,235,2.0030292789686355,12.406346555637771,5.481505689789781,normalized_void>0.946305
nvt_scale,0.9,0.9,scale-0p9,W-potential/fcc-restart/01-nvt-round-1/md/scale-0p9/multi_nnap_md.xyz,779,2.840813679,11.59396854,11.63748097,9.351776995,280,2.1031601088206546,8.790538825153071,3.88393056491702,normalized_void>0.946305
nvt_scale,0.9,0.9,scale-0p9,W-potential/fcc-restart/01-nvt-round-1/md/scale-0p9/multi_nnap_md.xyz,881,3.332714406,11.59396854,11.54881122,10.40823744,382,2.1266169120703102,8.952372838566568,3.9554338121743267,normalized_void>0.946305
