group,source,uncertainty_layer,count
source,P-1GPa,,35
source,P-5GPa,,14
source,P-10GPa,,23
source,P-20GPa,,7
source,P-30GPa,,9
source,P-40GPa,,4
source,P-50GPa,,8
uncertainty_layer,,U-below-tail,95
uncertainty_layer,,U-ge-tail,5
source_layer,P-1GPa,U-below-tail,35
source_layer,P-5GPa,U-below-tail,14
source_layer,P-10GPa,U-below-tail,21
source_layer,P-10GPa,U-ge-tail,2
source_layer,P-20GPa,U-below-tail,7
source_layer,P-30GPa,U-below-tail,9
source_layer,P-40GPa,U-below-tail,3
source_layer,P-40GPa,U-ge-tail,1
source_layer,P-50GPa,U-below-tail,6
source_layer,P-50GPa,U-ge-tail,2
