trajectory,trajectory_path,frame,natoms,mini_pressure_bar,pressure_index,raw_index,rss_source_file,rss_source_path,minimized_source_path,raw_source_path,flat_sha256,minimized_sha256
rss-n9-p0bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,0,9,0.0,0,0,000001.poscar,unary-W/W-00000-0.poscar,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-W/W-00000-0.poscar,W-potential/fcc-restart/05-rss-round-1/rss/raw/unary-W/W-00000.poscar,a16843e04f74164e5c7e932e2489a80cc0a0cf447cef2f0551c7846eecbf2d86,a16843e04f74164e5c7e932e2489a80cc0a0cf447cef2f0551c7846eecbf2d86
rss-n9-p0bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,1,9,0.0,0,1,000004.poscar,unary-W/W-00001-0.poscar,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-W/W-00001-0.poscar,W-potential/fcc-restart/05-rss-round-1/rss/raw/unary-W/W-00001.poscar,b309f980238125db3669de4cb4e911a61a0ee661f2aba052a39b3c40c33f50f6,b309f980238125db3669de4cb4e911a61a0ee661f2aba052a39b3c40c33f50f6
rss-n9-p0bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,2,9,0.0,0,2,000007.poscar,unary-W/W-00002-0.poscar,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-W/W-00002-0.poscar,W-potential/fcc-restart/05-rss-round-1/rss/raw/unary-W/W-00002.poscar,1a8e835581b04c3d92ebc25823086059fdb46b359960b194a46b043a038b323d,1a8e835581b04c3d92ebc25823086059fdb46b359960b194a46b043a038b323d
rss-n9-p0bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,3,9,0.0,0,3,000010.poscar,unary-W/W-00003-0.poscar,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-W/W-00003-0.poscar,W-potential/fcc-restart/05-rss-round-1/rss/raw/unary-W/W-00003.poscar,f10bb211eef801500e2e87f801cc5c1c4bd113918fcb1c1de86f943595eb11d1,f10bb211eef801500e2e87f801cc5c1c4bd113918fcb1c1de86f943595eb11d1
rss-n9-p0bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,4,9,0.0,0,4,000013.poscar,unary-W/W-00004-0.poscar,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-W/W-00004-0.poscar,W-potential/fcc-restart/05-rss-round-1/rss/raw/unary-W/W-00004.poscar,2ddc9b0595b4e8fb64afb0bce11d49eea690473de0c14e622a898756e693e046,2ddc9b0595b4e8fb64afb0bce11d49eea690473de0c14e622a898756e693e046
rss-n9-p0bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,5,9,0.0,0,5,000016.poscar,unary-W/W-00005-0.poscar,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-W/W-00005-0.poscar,W-potential/fcc-restart/05-rss-round-1/rss/raw/unary-W/W-00005.poscar,44f64c36e93d360e7705758c9835bc0727286b16c639d81188735862c7c3f6a6,44f64c36e93d360e7705758c9835bc0727286b16c639d81188735862c7c3f6a6
rss-n9-p0bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,6,9,0.0,0,6,000019.poscar,unary-W/W-00006-0.poscar,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-W/W-00006-0.poscar,W-potential/fcc-restart/05-rss-round-1/rss/raw/unary-W/W-00006.poscar,0f0939549fbae133e7484230741e6283defe56beda3957a9f2f11ac2c0e7962a,0f0939549fbae133e7484230741e6283defe56beda3957a9f2f11ac2c0e7962a
rss-n9-p0bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,7,9,0.0,0,7,000022.poscar,unary-W/W-00007-0.poscar,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-W/W-00007-0.poscar,W-potential/fcc-restart/05-rss-round-1/rss/raw/unary-W/W-00007.poscar,9a438b34d6fd22909f146c5c715c4727c5e3db8765fa7be29d1830453766970d,9a438b34d6fd22909f146c5c715c4727c5e3db8765fa7be29d1830453766970d
rss-n9-p0bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,8,9,0.0,0,8,000025.poscar,unary-W/W-00008-0.poscar,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-W/W-00008-0.poscar,W-potential/fcc-restart/05-rss-round-1/rss/raw/unary-W/W-00008.poscar,d118c0c07112d364a0f194de6a10b5746d477adb8d8a4f9e1a6d45fbad392c61,d118c0c07112d364a0f194de6a10b5746d477adb8d8a4f9e1a6d45fbad392c61
rss-n9-p0bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,9,9,0.0,0,9,000028.poscar,unary-W/W-00009-0.poscar,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-W/W-00009-0.poscar,W-potential/fcc-restart/05-rss-round-1/rss/raw/unary-W/W-00009.poscar,a4abed4a6701158935f33734353ce1e69fc48e95723819bde7a45b2d2ecf9883,a4abed4a6701158935f33734353ce1e69fc48e95723819bde7a45b2d2ecf9883
