fold,metric_name,metric_unit,jnn_path,log_path,train_metric,test_metric,selection_metric,train_test_gap,train_test_ratio,eligible,exclude_reason
0,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-0/0.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-0/log,5.087,5.633,5.633,0.546,1.10733241596,yes,
1,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-1/1.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-1/log,5.769,4.705,4.705,1.064,1.2261424017,yes,
2,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-2/2.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-2/log,4.979,5.523,5.523,0.544,1.10925888733,yes,
3,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-3/3.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-3/log,4.878,4.958,4.958,0.08,1.016400164,yes,
4,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-4/4.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-4/log,4.823,4.965,4.965,0.142,1.02944225586,yes,
5,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-5/5.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-5/log,5.97,8.06,8.06,2.09,1.35008375209,no,train/test ratio 1.35008 > 1.25
6,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-6/6.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-6/log,4.508,6.21,6.21,1.702,1.37755102041,no,train/test ratio 1.37755 > 1.25
7,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-7/7.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-7/log,4.665,2.897,2.897,1.768,1.61028650328,no,train/test ratio 1.61029 > 1.25
8,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-8/8.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-8/log,5.118,8.819,8.819,3.701,1.72313403673,no,train/test ratio 1.72313 > 1.25
9,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-9/9.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-9/log,5.52,5.863,5.863,0.343,1.06213768116,yes,
